1.6340 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['pygame', 'sounddevice', 'PTB', 'pyo'] (in that order).
262.1850 	EXP 	fiksa: autoDraw = False
262.1850 	EXP 	fiksa: autoDraw = False
262.1850 	EXP 	strza: autoDraw = True
262.1850 	EXP 	polygon_3: autoDraw = True
265.1727 	EXP 	polygon_4: autoDraw = True
268.1538 	EXP 	polygon_3: autoDraw = False
268.1538 	EXP 	polygon_4: autoDraw = False
268.1755 	EXP 	New trial (rep=31, index=0): None
268.1925 	EXP 	strza: autoDraw = False
268.1925 	EXP 	strza: autoDraw = False
268.1925 	EXP 	polygon_3: autoDraw = False
268.1925 	EXP 	polygon_4: autoDraw = False
268.1925 	EXP 	fiksa: autoDraw = True
270.2042 	EXP 	fiksa: autoDraw = False
270.2042 	EXP 	strza: autoDraw = True
270.2042 	EXP 	polygon_4: autoDraw = True
273.1722 	EXP 	polygon_3: autoDraw = True
276.1732 	EXP 	polygon_3: autoDraw = False
276.1732 	EXP 	polygon_4: autoDraw = False
276.1948 	EXP 	New trial (rep=32, index=0): None
276.2064 	EXP 	strza: autoDraw = False
276.2064 	EXP 	polygon_3: autoDraw = False
276.2064 	EXP 	polygon_4: autoDraw = False
276.2064 	EXP 	fiksa: autoDraw = True
278.2074 	EXP 	fiksa: autoDraw = False
278.2074 	EXP 	fiksa: autoDraw = False
278.2074 	EXP 	strza: autoDraw = True
278.2074 	EXP 	polygon_3: autoDraw = True
281.1750 	EXP 	polygon_4: autoDraw = True
284.1775 	EXP 	polygon_3: autoDraw = False
284.1775 	EXP 	polygon_4: autoDraw = False
284.2014 	EXP 	New trial (rep=33, index=0): None
284.2107 	EXP 	strza: autoDraw = False
284.2107 	EXP 	strza: autoDraw = False
284.2107 	EXP 	polygon_3: autoDraw = False
284.2107 	EXP 	polygon_4: autoDraw = False
284.2107 	EXP 	fiksa: autoDraw = True
286.2126 	EXP 	fiksa: autoDraw = False
286.2126 	EXP 	fiksa: autoDraw = False
286.2126 	EXP 	strza: autoDraw = True
286.2126 	EXP 	polygon_4: autoDraw = True
289.1774 	EXP 	polygon_3: autoDraw = True
292.1791 	EXP 	polygon_3: autoDraw = False
292.1791 	EXP 	polygon_4: autoDraw = False
292.1980 	EXP 	New trial (rep=34, index=0): None
292.2140 	EXP 	strza: autoDraw = False
292.2140 	EXP 	strza: autoDraw = False
292.2140 	EXP 	polygon_3: autoDraw = False
292.2140 	EXP 	polygon_4: autoDraw = False
292.2140 	EXP 	fiksa: autoDraw = True
294.2294 	EXP 	fiksa: autoDraw = False
294.2294 	EXP 	strza: autoDraw = True
294.2294 	EXP 	polygon_3: autoDraw = True
297.2136 	EXP 	polygon_4: autoDraw = True
300.1978 	EXP 	polygon_3: autoDraw = False
300.1978 	EXP 	polygon_4: autoDraw = False
300.2177 	EXP 	New trial (rep=35, index=0): None
300.2344 	EXP 	strza: autoDraw = False
300.2344 	EXP 	polygon_3: autoDraw = False
300.2344 	EXP 	polygon_4: autoDraw = False
300.2344 	EXP 	fiksa: autoDraw = True
302.2484 	EXP 	fiksa: autoDraw = False
302.2484 	EXP 	strza: autoDraw = True
302.2484 	EXP 	polygon_3: autoDraw = True
305.2334 	EXP 	polygon_4: autoDraw = True
308.2171 	EXP 	polygon_3: autoDraw = False
308.2171 	EXP 	polygon_4: autoDraw = False
308.2366 	EXP 	New trial (rep=36, index=0): None
308.2510 	EXP 	strza: autoDraw = False
308.2510 	EXP 	polygon_3: autoDraw = False
308.2510 	EXP 	polygon_4: autoDraw = False
308.2510 	EXP 	fiksa: autoDraw = True
310.2526 	EXP 	fiksa: autoDraw = False
310.2526 	EXP 	fiksa: autoDraw = False
310.2526 	EXP 	strza: autoDraw = True
310.2526 	EXP 	polygon_4: autoDraw = True
313.2188 	EXP 	polygon_3: autoDraw = True
316.2211 	EXP 	polygon_3: autoDraw = False
316.2211 	EXP 	polygon_4: autoDraw = False
316.2392 	EXP 	New trial (rep=37, index=0): None
316.2559 	EXP 	strza: autoDraw = False
316.2559 	EXP 	strza: autoDraw = False
316.2559 	EXP 	polygon_3: autoDraw = False
316.2559 	EXP 	polygon_4: autoDraw = False
316.2559 	EXP 	fiksa: autoDraw = True
318.2737 	EXP 	fiksa: autoDraw = False
318.2737 	EXP 	strza: autoDraw = True
318.2737 	EXP 	polygon_4: autoDraw = True
321.2386 	EXP 	polygon_3: autoDraw = True
324.2405 	EXP 	polygon_3: autoDraw = False
324.2405 	EXP 	polygon_4: autoDraw = False
324.2429 	EXP 	New trial (rep=38, index=0): None
324.2573 	EXP 	strza: autoDraw = False
324.2573 	EXP 	polygon_3: autoDraw = False
324.2573 	EXP 	polygon_4: autoDraw = False
324.2573 	EXP 	fiksa: autoDraw = True
326.2598 	EXP 	fiksa: autoDraw = False
326.2598 	EXP 	strza: autoDraw = True
326.2598 	EXP 	polygon_4: autoDraw = True
